order_number,order_type,department,order_date,inspection_date_started,inspection_date_completed,buyer_name,shipper_name,vessel_carrier,bill_of_lading,bill_of_lading_date,inspection_place,client_ref_code,client_trade_name,client_Name,client_address,client_address,client_address,contact_name,contact_phone,contact_email,commodity_name,item_description,quantity,unit_name
ICG11-036,International,CG,20/05/2011,,,ANERGOIMPORT - CUBA,AREVA T & D S.A,CONTS,,,PT. UNIDO - INDONESIA,,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,EQUIPMENT,POWER TRANSFORMERS,18,Cont(s)
ICG11-037,International,CG,20/05/2011,,,ENERGOIMPORT,HITACHI HIGHT TECHNOLOGIES CORP.,CONTS,,,JAPAN,,"LG ELECTRONICS THAI LAND CO., LTD","LG ELECTRONICS THAI LAND CO., LTD",,,,,,,EQUIPMENT,REGENERATIVE AIR HEATER PARTS,1,Case(s)
ICG11-038,International,CG,31/05/2011,,,,NAM VIET CORPORATION,CONTS,,,AN GIANG PROVINCE,,"WAKEFIELD INSPECTION SERVICES (VIETNAM) CO., LTD",CÔNG TY TNHH WAKEFIELD INSPECTION SERVICES (VIỆT NAM),"Tòa nhà Waseco, 10 Phổ Quang, Phường 2, Quận Tân Bình, TP HCM, VN","Tòa nhà Waseco, 10 Phổ Quang, Phường 2, Quận Tân Bình, TP HCM, VN","Tòa nhà Waseco, 10 Phổ Quang, Phường 2, Quận Tân Bình, TP HCM, VN",,,,PANGASIUS FILLET,PANGASIUS FILLET,2,Cont(s)
ICG11-039,International,CG,31/05/2011,,,TRD - CUBA,IBERO TRUST de Mercado S.A.,CONTS,,,MALAYSIA,,"CONDAL TRADE BARCELONA, SA","CONDAL TRADE BARCELONA, SA","Cera, Prats de Llucanes 550. Pol. Ind. La Lanera 08 Sabadell, Barcelona - Spain","Cera, Prats de Llucanes 550. Pol. Ind. La Lanera 08 Sabadell, Barcelona - Spain","Cera, Prats de Llucanes 550. Pol. Ind. La Lanera 08 Sabadell, Barcelona - Spain",,,,Snack ,SNACK BRAND MR. POTATOE AND INSTANT SOUP BRAND MAMEE,1,Cont(s)
ICG11-040,International,CG,7/6/2011,,,TRD - CUBA,IBERO TRUST de Mercado S.A.,CONT,,,MALAYSIA,,"CONDAL TRADE BARCELONA, SA","CONDAL TRADE BARCELONA, SA","Cera, Prats de Llucanes 550. Pol. Ind. La Lanera 08 Sabadell, Barcelona - Spain","Cera, Prats de Llucanes 550. Pol. Ind. La Lanera 08 Sabadell, Barcelona - Spain","Cera, Prats de Llucanes 550. Pol. Ind. La Lanera 08 Sabadell, Barcelona - Spain",,,,Snack ,SNACK BRAND MR. POTATOE AND INSTANT SOUP BRAND MAMEE,1,Cont(s)
ICG11-041,International,CG,14/06/2011,,,EMPRESA IMPORTADORA EXPORTADORA DEL MINIL,CASABLANCA S.A,CONTS,,,INDONESIA,,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,"OFFSET WOODFREE PAPER, REELS 75 GMS",12,Cont(s)
ICG11-042,International,CG,14/06/2011,,,EMPRESA COMERCIAL DUJO,CASABLANCA S.A,CONTS,,,INDONESIA,,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,OFFSET WOODFREE PAPER,1,Cont(s)
ICG11-043,International,CG,14/06/2011,,,EMPRESA COMERCIAL DUJO,CASABLANCA S.A,CONTS,,,INDONESIA,,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,OFFSET WOODFREE PAPER,2,Cont(s)
ICG11-044,International,CG,14/06/2011,,,EMPRESA COMERCIAL DUJO,CASABLANCA S.A,CONTS,,,INDONESIA,,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,OFFSET WOODFREE PAPER,20,Cont(s)
ICG11-045,International,CG,14/06/2011,,,EMPRESA COMERCIAL DUJO,CASABLANCA S.A,CONTS,,,INDONESIA,,CASABLANCA S.A,CASABLANCA S.A,"CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA","CALLE 16 Y 17 LOTE #13 EDIFICIO HAYATUR P.O BOX 0302-00494 FREE ZONE, REPUBLICA DE PANAMA",,,,PAPER,OFFSET WOODFREE PAPER,3,Cont(s)
